Designator,Mid X,Mid Y,Rotation,Layer
D1,41.2625,-61.05,0.0,top
D10,112.725,-48.15,180.0,top
D2,41.0125,-68.0875,0.0,top
D3,40.7125,-74.7875,0.0,top
D4,41.0875,-81.75,0.0,top
D5,89.2316,-30.45,0.0,top
D6,89.2267,-35.86,0.0,top
D7,89.2316,-41.275,0.0,top
D8,89.2316,-46.7,0.0,top
D9,112.825,-54.4,180.0,top
J1,27.94,-57.1661,270.0,top
J2,55.84,-71.569997,90.0,top
J3,91.48,-71.569997,270.0,top
J4,81.24,-71.569997,90.0,top
J5,116.8,-60.48,90.0,top
J6,116.8,-37.929998,90.0,top
J7,104.1,-37.929998,90.0,top
J8,71.16,-37.929998,270.0,top
J9,35.66,-27.25,90.0,top
Q1,57.995,-29.3875,0.0,top
Q2,57.995,-36.479167,0.0,top
Q3,58.02,-43.570833,0.0,top
Q4,58.02,-50.6625,0.0,top
Q5,107.4,-58.73,180.0,top
Q6,41.9,-28.82,270.0,top
R1,44.1375,-59.275,90.0,top
R10,49.105,-34.199167,0.0,top
R11,49.105,-41.290833,0.0,top
R12,49.105,-48.3825,0.0,top
R13,49.105,-29.465,0.0,top
R14,49.105,-36.615,0.0,top
R15,49.105,-43.69,0.0,top
R16,49.105,-50.84,0.0,top
R17,108.125,-54.4,0.0,top
R18,108.0625,-48.15,0.0,top
R2,44.1375,-62.825,270.0,top
R3,44.0625,-66.3,90.0,top
R4,43.9375,-69.875,270.0,top
R5,43.9625,-72.975,90.0,top
R6,43.9875,-76.675,270.0,top
R7,44.0125,-79.85,90.0,top
R8,44.0125,-83.425,270.0,top
R9,49.105,-27.1075,0.0,top
U1,38.64,-41.03,0.0,top
