Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D2, D3, D4",SOT-23-3,4,SZMMBZ12VALT1G,
"D10, D9",1206,2,LED,
"D5, D6, D7, D8",TO-277-3LD_ONS,4,FSV15100V,
J1,3.5mmPitch01x16,1,NI_6000_CONN,
J2,CONN8_2601-3108_WAG,1,AIN_CONN,
J3,CONN8_2601-3108_WAG,1,PWR_CONN,
J4,CONN8_2601-3108_WAG,1,GND_CONN,
J5,CONN2_2601-1102_WAG,1,AIN_PWR_IN,
J6,CONN4_2601-1104_WAG,1,CONTROL_PWR_IN,
J7,CONN4_2601-3104_WAG,1,CONTROL PWR,
J8,CONN4_2601-3104_WAG,1,DIO_IN,
J9,PinHeader_1x02_P2.54mm_Vertical,1,12V+_IN,
"Q1, Q2, Q3, Q4",TO-252-2,4,GSFD6016,
"Q5, Q6",SOT-23-3,2,DMP3099L,
"R1, R2, R3, R4, R5, R6, R7, R8",0603,8,500,
"R10, R11, R12, R9",1206,4,10k,
"R13, R14, R15, R16",1206,4,10,
"R17, R18",1206,2,2k,
"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP2, TP20, TP21, TP22, TP23, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_THTPad_D2.0mm_Drill1.0mm,23,TestPoint,
U1,PDIP-14_MCL,1,MIC4469YN,
